"","SG_UF_NCM","TotalExp_UF","ExpUFpercentual"
"1","AC",13547392,0.0131651902020197
"2","AL",149949053,0.145718659603098
"3","AM",375701579,0.365102209099296
"4","AP",171176207,0.166346948786548
"5","BA",3595007469,3.49358438192875
"6","CE",870547125,0.845987071197646
"7","DF",92890935,0.0902702769151766
"8","ES",2454882275,2.38562463343069
"9","GO",4136086864,4.01939873420915
"10","MA",1727312511,1.67858121663884
"11","MG",12758488329,12.398543242975
"12","MS",3032018397,2.94647847294356
"13","MT",9076020707,8.81996615179691
"14","ND",1006524821,0.978128536586143
"15","PA",11265073687,10.9472611207472
"16","PB",54145580,0.0526180138065447
"17","PE",767189192,0.745545093373972
"18","PI",302089960,0.293567336172196
"19","PR",7428359000,7.21878861436096
"20","RJ",12209866459,11.8653992055442
"21","RN",155139980,0.15076313910733
"22","RO",837405995,0.813780925545415
"23","RR",79615524,0.0773693945294758
"24","RS",6415590842,6.23459287907707
"25","SC",3922423937,3.81176370946968
"26","SE",18376194,0.017857761050925
"27","SP",19286741880,18.7426203676293
"28","TO",700952118,0.681176713272824
